Product Key,Effective Start Date,Price,Discount Percent,Promotion Key
1,2023-02-08,106.66,0,
1,2023-03-18,98.55,10,20
1,2023-08-31,106.49,0,
1,2024-06-24,105.82,0,
1,2025-07-17,98.21,0,
2,2021-09-02,896.32,15,2
2,2022-06-25,1006.75,0,
2,2023-09-10,1019.5,0,
2,2025-02-13,1010.71,0,
3,2021-10-18,166.2,0,
3,2022-01-19,154.8,0,
3,2023-11-22,144.75,0,
3,2024-01-21,135.94,0,
3,2024-02-05,138.76,0,
3,2025-03-05,127.8,0,
3,2025-04-05,124.45,0,
3,2025-06-18,119.8,0,
4,2022-09-18,123.95,26,15
4,2022-12-31,167.07,0,
4,2023-05-15,165.89,0,
4,2023-12-04,154.7,0,
4,2024-02-02,147.07,0,
4,2024-05-06,136.76,0,
4,2024-06-02,126.94,0,
4,2025-03-09,119.71,0,
5,2021-12-20,279.26,0,
5,2022-03-03,268.12,0,
5,2022-12-09,249.81,0,
5,2024-01-07,249.47,15,30
5,2024-08-03,246.83,0,
5,2024-08-28,245.25,0,
6,2022-02-21,156.75,0,
6,2022-12-07,145.85,0,
6,2023-04-20,139.83,0,
6,2024-08-31,140.03,0,
6,2025-06-20,141.54,0,
7,2022-07-25,413.28,0,
7,2022-12-08,382.95,0,
7,2025-03-25,367.02,0,
7,2025-08-10,369.16,12,49
8,2023-05-18,163.24,0,
8,2024-02-25,150.38,0,
8,2024-07-21,145.49,0,
8,2024-08-06,115.57,33,35
9,2022-02-03,100.75,0,
9,2022-03-31,101.67,0,
9,2022-05-07,94.95,0,
9,2023-10-28,96.3,0,
9,2024-06-28,99.15,0,
9,2024-09-01,93.08,15,37
10,2023-01-14,461.76,0,
10,2024-04-23,457.11,0,
10,2025-07-12,332.88,27,48
11,2022-12-20,102.0,0,
11,2022-12-30,95.82,0,
11,2023-06-07,94.33,0,
11,2024-11-26,76.65,30,39
12,2021-12-11,927.6,20,5
12,2023-12-31,1079.57,0,
12,2025-05-11,998.55,0,
13,2022-08-30,1008.69,0,
13,2022-12-27,1031.55,0,
13,2023-02-03,1027.19,0,
13,2024-03-08,973.42,0,
14,2022-03-17,89.1,10,8
14,2022-10-30,99.93,0,
14,2023-01-02,84.15,15,19
14,2023-01-27,101.95,0,
14,2024-04-10,96.86,0,
15,2021-10-14,567.36,0,
15,2021-10-24,548.59,0,
15,2023-07-29,518.59,0,
15,2024-08-17,525.33,0,
15,2024-09-27,508.3,0,
15,2025-02-15,485.09,0,
15,2025-09-04,503.62,15,50
16,2021-12-10,146.4,20,5
16,2022-12-24,177.04,0,
16,2024-08-27,167.1,0,
16,2025-05-28,160.13,0,
16,2025-05-31,156.42,0,
16,2025-08-15,161.04,12,49
17,2022-04-06,104.12,0,
17,2023-08-08,100.47,0,
17,2023-08-13,96.36,12,24
17,2023-12-14,87.6,20,29
17,2024-02-25,101.58,0,
17,2024-03-20,98.55,10,31
17,2024-04-01,102.61,0,
17,2024-05-24,93.08,15,33
18,2022-04-10,122.17,0,
18,2022-11-22,112.82,0,
18,2022-12-08,109.85,0,
18,2023-08-29,102.26,0,
18,2023-12-03,84.0,30,27
18,2024-01-10,102.0,15,30
18,2024-04-29,98.09,0,
19,2022-09-15,1134.73,0,
19,2023-01-22,1143.05,0,
19,2023-03-03,1111.47,0,
19,2025-05-05,1081.33,0,
19,2025-07-03,894.0,20,47
20,2022-06-29,233.42,0,
20,2024-10-11,219.03,0,
20,2025-07-08,218.36,0,
21,2021-11-20,883.42,0,
21,2022-06-22,895.11,0,
21,2022-08-05,850.92,0,
21,2025-01-04,753.52,15,43
21,2025-02-24,585.09,34,44
21,2025-08-19,860.66,0,
22,2021-08-30,41.08,21,1
22,2021-11-02,47.89,0,
22,2023-03-13,48.49,0,
22,2023-05-11,46.8,0,
22,2024-05-22,45.92,0,
22,2025-05-08,44.68,0,
23,2022-07-02,138.0,20,12
23,2022-07-18,160.1,0,
23,2023-03-29,148.74,0,
23,2023-12-06,151.17,0,
23,2025-01-01,149.78,0,
23,2025-07-27,153.64,0,
24,2023-01-19,391.43,0,
24,2023-11-28,267.75,30,27
24,2024-05-07,371.57,0,
24,2024-11-28,267.75,30,39
24,2024-12-28,361.65,0,
24,2025-05-22,334.18,0,
24,2025-08-03,321.07,0,
25,2021-11-04,361.9,0,
25,2022-10-02,369.92,0,
25,2023-03-11,366.2,0,
25,2023-08-26,364.23,0,
25,2024-12-15,356.4,0,
25,2025-06-27,364.33,0,
25,2025-08-02,372.57,0,
26,2021-09-09,342.2,0,
26,2022-06-01,315.36,0,
26,2023-11-04,291.5,0,
26,2023-12-20,296.01,0,
26,2024-01-20,285.8,0,
26,2024-09-04,285.18,15,37
26,2025-03-21,301.95,10,45
26,2025-09-03,285.18,15,50
27,2021-12-07,516.99,0,
27,2022-01-24,488.03,0,
27,2023-05-15,451.6,0,
27,2023-12-19,438.25,0,
27,2025-02-28,434.43,0,
28,2021-08-22,479.72,0,
28,2021-11-03,465.9,0,
28,2022-11-25,337.75,30,16
28,2023-01-01,464.34,0,
28,2023-10-13,427.78,0,
29,2022-03-15,3689.55,10,8
29,2023-10-19,3946.37,0,
29,2024-05-02,3860.2,0,
29,2024-12-12,3279.6,20,42
29,2024-12-22,3800.82,0,
29,2025-09-02,3484.57,15,50
30,2023-02-27,214.36,0,
30,2024-03-01,208.28,0,
30,2025-07-13,156.59,27,48
31,2021-08-27,156.9,0,
31,2022-02-04,146.66,0,
31,2022-03-09,143.34,0,
31,2024-09-17,135.43,0,
31,2025-03-10,131.25,0,
31,2025-09-25,134.37,0,
31,2025-10-05,137.48,0,
32,2021-10-18,354.33,0,
