,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7FtRmRGR4cVwAPfVD4Xx0n,Gates of Dawn,Heartless Bastards,25,2015-06-16,False,0.318,0.767,4,-5.097,1,0.0312,0.00889,0.153,0.738,186.211,200293,4
1,06gKLpviV21IRdXYhVkphW,Chocolate Cake,Honey Island Swamp Band,26,2010-11-17,False,0.624,0.811,7,-4.74,1,0.0728,0.0208,0.0594,0.859,105.313,330467,4
2,2IsedwzpokWvnYR5cWdaAK,Right Now (feat. Rahsaan Roland Kirk),Rahsaan Roland Kirk,29,2004,False,0.861,0.857,1,-3.731,1,0.0632,0.213,0.0844,0.624,115.843,251133,4
3,1AEoNmoU5UaP1wV4UisLh7,Heartsprings,Heiruspecs,43,2004-09-28,False,0.7,0.687,4,-9.967,1,0.516,0.000179,0.105,0.663,94.075,199467,4
4,2S6hFFkVmG8FpjWCFrfKRI,Cold Canary Gaslight,Marty O'Reilly & the Old Soul Orchestra,40,2014-03-17,False,0.487,0.317,7,-8.567,1,0.77,0.000137,0.107,0.291,139.628,284080,4
5,3EOWUSrJdGYvTPO4z0GEPe,Boomslang.,MS.,39,2016-01-01,False,0.81,0.381,3,-9.659,0,0.0625,3.33e-06,0.11,0.169,84.998,237952,4
6,6OU56R3C0gsXZOXavKbV2Q,Noam Chomsky Is A Soft Revolution,Foy Vance,33,2016-05-13,False,0.477,0.819,2,-6.773,1,0.0388,0.068,0.27,0.684,172.066,148480,4
7,0IzlyXWvtdlsfHiJgwr3Jh,Rent Party,Booker T. Jones,35,2011-05-10,False,0.558,0.766,0,-5.728,0,0.0627,0.749,0.131,0.964,89.638,238707,4
8,2YCi9lbn6SErTcNExuyrpK,Used To,Mutemath,40,2015-11-13,False,0.451,0.615,5,-5.161,0,0.139,0.0,0.197,0.501,121.901,255200,4
9,0dGXQT5LCpJqBR5M5m8pVx,Hurry Up and Wait,Ben Miller Band,55,2014-08-05,False,0.563,0.874,7,-6.501,1,0.00356,0.528,0.288,0.499,122.995,183027,4
10,2qeIFUwxU7f44PUgeahCPo,Unholy,Bobby Saint,35,2017-05-19,False,0.607,0.697,4,-6.669,1,0.0111,1.2e-05,0.483,0.563,84.942,209000,4
11,23IJVlSoWA8WDFGcpeya6H,Love Keeps,Scenic Route to Alaska,33,2016-09-23,False,0.465,0.843,3,-5.094,1,0.000217,2.51e-05,0.103,0.54,156.952,223720,4
12,5QEKm7Y5nClx82mzfZs327,Fools,Wild Child,11,2015-02-10,False,0.521,0.892,4,-6.623,1,0.0229,0.000137,0.125,0.776,153.283,204139,4
13,1N1ew625X00VqeFPQTXmRZ,Steady,The London Souls,20,2015-04-07,False,0.399,0.895,10,-6.736,0,0.000837,0.00489,0.216,0.447,151.047,200757,4
14,6s1iHcUUGugZXeaFB9kM61,Dreams of Flying,Mudcrutch,32,2016-05-20,False,0.552,0.794,9,-3.495,0,0.00017,0.000376,0.177,0.39,127.685,238933,4
