Edition,Rank,Artist,Song,songid,Released
2010,1,Bob Dylan,Like a Rolling Stone,Like a Rolling StoneBob Dylan,1965
2010,2,The Rolling Stones,(I Can't Get No) Satisfaction,(I Can't Get No) SatisfactionThe Rolling Stones,1965
2010,3,John Lennon,Imagine,ImagineJohn Lennon,1971
2010,4,Marvin Gaye,What's Going On,What's Going OnMarvin Gaye,1971
2010,5,Aretha Franklin,Respect,RespectAretha Franklin,1967
2010,6,The Beach Boys,Good Vibrations,Good VibrationsThe Beach Boys,1966
2010,7,Chuck Berry,Johnny B. Goode,Johnny B. GoodeChuck Berry,1958
2010,8,The Beatles,Hey Jude,Hey JudeThe Beatles,1968
2010,9,Nirvana,Smells Like Teen Spirit,Smells Like Teen SpiritNirvana,1991
2010,10,Ray Charles,What'd I Say,What'd I SayRay Charles,1959
2010,11,The Who,My Generation,My GenerationThe Who,1965
2010,12,Sam Cooke,A Change Is Gonna Come,A Change Is Gonna ComeSam Cooke,1964
2010,13,The Beatles,Yesterday,YesterdayThe Beatles,1965
2010,14,Bob Dylan,Blowin' in the Wind,Blowin' in the WindBob Dylan,1963
2010,15,The Clash,London Calling,London CallingThe Clash,1980
2010,16,The Beatles,I Want to Hold Your Hand,I Want to Hold Your HandThe Beatles,1963
2010,17,Jimi Hendrix,Purple Haze,Purple HazeJimi Hendrix,1967
2010,18,Chuck Berry,Maybellene,MaybelleneChuck Berry,1955
2010,19,Elvis Presley,Hound Dog,Hound DogElvis Presley,1956
2010,20,The Beatles,Let It Be,Let It BeThe Beatles,1970
2010,21,Bruce Springsteen,Born to Run,Born to RunBruce Springsteen,1975
2010,22,The Ronettes,Be My Baby,Be My BabyThe Ronettes,1963
2010,23,The Beatles,In My Life,In My LifeThe Beatles,1965
2010,24,The Impressions,People Get Ready,People Get ReadyThe Impressions,1965
2010,25,The Beach Boys,God Only Knows,God Only KnowsThe Beach Boys,1966
2010,26,Otis Redding,(Sittin' On) the Dock of the Bay,(Sittin' On) the Dock of the BayOtis Redding,1968
2010,27,Derek and the Dominos,Layla,LaylaDerek and the Dominos,1970
2010,28,The Beatles,A Day in the Life,A Day in the LifeThe Beatles,1967
2010,29,The Beatles,Help!,Help!The Beatles,1965
2010,30,Johnny Cash,I Walk the Line,I Walk the LineJohnny Cash,1956
2010,31,Led Zeppelin,Stairway to Heaven,Stairway to HeavenLed Zeppelin,1971
2010,32,The Rolling Stones,Sympathy for the Devil,Sympathy for the DevilThe Rolling Stones,1968
2010,33,Ike and Tina Turner,River Deep - Mountain High,River Deep - Mountain HighIke and Tina Turner,1966
2010,34,The Righteous Brothers,You've Lost That Lovin' Feelin',You've Lost That Lovin' Feelin'The Righteous Brothers,1964
2010,35,The Doors,Light My Fire,Light My FireThe Doors,1967
2010,36,U2,One,OneU2,1991
2010,37,Bob Marley and the Wailers,No Woman No Cry,No Woman No CryBob Marley and the Wailers,1975
2010,38,The Rolling Stones,Gimme Shelter,Gimme ShelterThe Rolling Stones,1969
2010,39,Buddy Holly,That'll Be the Day,That'll Be the DayBuddy Holly,1957
2010,40,Martha Reeves & The Vandellas,Dancing in the Street,Dancing in the StreetMartha Reeves & The Vandellas,1964
2010,41,The Band,The Weight,The WeightThe Band,1968
2010,42,The Kinks,Waterloo Sunset,Waterloo SunsetThe Kinks,1968
2010,43,Little Richard,Tutti-Frutti,Tutti-FruttiLittle Richard,1955
2010,44,Ray Charles,Georgia on My Mind,Georgia on My MindRay Charles,1960
2010,45,Elvis Presley,Heartbreak Hotel,Heartbreak HotelElvis Presley,1956
2010,46,David Bowie,Heroes,HeroesDavid Bowie,1977
2010,47,Jimi Hendrix,All Along the Watchtower,All Along the WatchtowerJimi Hendrix,1968
2010,48,Simon & Garfunkel,Bridge Over Troubled Water,Bridge Over Troubled WaterSimon & Garfunkel,1970
2010,49,The Eagles,Hotel California,Hotel CaliforniaThe Eagles,1976
2010,50,Smokey Robinson and the Miracles,The Tracks of My Tears,The Tracks of My TearsSmokey Robinson and the Miracles,1965
2010,51,Grandmaster Flash & Melle Mel,The Message,The MessageGrandmaster Flash & Melle Mel,1982
2010,52,Prince,When Doves Cry,When Doves CryPrince,1984
2010,53,Percy Sledge,When a Man Loves a Woman,When a Man Loves a WomanPercy Sledge,1966
2010,54,The Kingsmen,Louie Louie,Louie LouieThe Kingsmen,1963
2010,55,Little Richard,Long Tall Sally,Long Tall SallyLittle Richard,1956
2010,56,The Sex Pistols,Anarchy in the U.K.,Anarchy in the U.K.The Sex Pistols,1977
2010,57,Procol Harum,A Whiter Shade of Pale,A Whiter Shade of PaleProcol Harum,1967
2010,58,Michael Jackson,Billie Jean,Billie JeanMichael Jackson,1983
2010,59,Bob Dylan,The Times They Are A-Changin,The Times They Are A-ChanginBob Dylan,1964
2010,60,Al Green,Let's Stay Together,Let's Stay TogetherAl Green,1971
2010,61,Jerry Lee Lewis,Whole Lotta Shakin' Going On,Whole Lotta Shakin' Going OnJerry Lee Lewis,1957
2010,62,Bo Diddley,Bo Diddley,Bo DiddleyBo Diddley,1955
2010,63,Buffalo Springfield,For What It's Worth,For What It's WorthBuffalo Springfield,1967
2010,64,The Beatles,She Loves You,She Loves YouThe Beatles,1963
2010,65,Cream,Sunshine of Your Love,Sunshine of Your LoveCream,1968
2010,66,Bob Marley and the Wailers,Redemption Song,Redemption SongBob Marley and the Wailers,1980
2010,67,Elvis Presley,Jailhouse Rock,Jailhouse RockElvis Presley,1957
2010,68,Bob Dylan,Tangled Up in Blue,Tangled Up in BlueBob Dylan,1975
2010,69,Roy Orbison,Crying,CryingRoy Orbison,1961
2010,70,Dionne Warwick,Walk on By,Walk on ByDionne Warwick,1964
2010,71,James Brown,Papa's Got A Brand New Bag,Papa's Got A Brand New BagJames Brown,1966
2010,72,The Beach Boys,California Girls,California GirlsThe Beach Boys,1965
2010,73,Stevie Wonder,Superstition,SuperstitionStevie Wonder,1972
2010,74,Eddie Cochran,Summertime Blues,Summertime BluesEddie Cochran,1958
2010,75,Led Zeppelin,Whole Lotta Love,Whole Lotta LoveLed Zeppelin,1969
2010,76,The Beatles,Strawberry Fields Forever,Strawberry Fields ForeverThe Beatles,1967
2010,77,Elvis Presley,Mystery Train,Mystery TrainElvis Presley,1955
2010,78,James Brown,I Got You (I Feel Good),I Got You (I Feel Good)James Brown,1965
2010,79,The Byrds,Mr. Tambourine Man,Mr. Tambourine ManThe Byrds,1965
2010,80,The Kinks,You Really Got Me,You Really Got MeThe Kinks,1964
2010,81,Marvin Gaye,I Heard It Through the Grapevine,I Heard It Through the GrapevineMarvin Gaye,1968
2010,82,Fats Domino,Blueberry Hill,Blueberry HillFats Domino,1956
2010,83,The Beatles,Norwegian Wood (This Bird Has Flown),Norwegian Wood (This Bird Has Flown)The Beatles,1965
2010,84,The Police,Every Breath You Take,Every Breath You TakeThe Police,1983
2010,85,Patsy Cline,Crazy,CrazyPatsy Cline,1961
2010,86,Bruce Springsteen,Thunder Road,Thunder RoadBruce Springsteen,1986
2010,87,Johnny Cash,Ring of Fire,Ring of FireJohnny Cash,1963
2010,88,The Temptations,My Girl,My GirlThe Temptations,1965
2010,89,The Mamas and the Papas,California Dreamin',California Dreamin'The Mamas and the Papas,1965
2010,90,The Five Satins,In the Still of the Night,In the Still of the NightThe Five Satins,1956
2010,91,Elvis Presley,Suspicious Minds,Suspicious MindsElvis Presley,1956
2010,92,Ramones,Blitzkrieg Bop,Blitzkrieg BopRamones,1976
2010,93,U2,I Still Haven't Found What I'm Looking For,I Still Haven't Found What I'm Looking ForU2,1987
2010,94,Little Richard,"Good Golly, Miss Molly","Good Golly, Miss MollyLittle Richard",1958
2010,95,Carl Perkins,Blue Suede Shoes,Blue Suede ShoesCarl Perkins,1956
2010,96,Jerry Lee Lewis,Great Balls of Fire,Great Balls of FireJerry Lee Lewis,1957
2010,97,Chuck Berry,Roll Over Beethoven,Roll Over BeethovenChuck Berry,1956
2010,98,Al Green,Love and Happiness,Love and HappinessAl Green,1972
2010,99,Creedence Clearwater Revival,Fortunate Son,Fortunate SonCreedence Clearwater Revival,1969
2010,100,Gnarls Barkley,Crazy,CrazyGnarls Barkley,2006
2010,101,The Rolling Stones,You Can't Always Get What You Want,You Can't Always Get What You WantThe Rolling Stones,1969
2010,102,Jimi Hendrix,Voodoo Child (Slight Return),Voodoo Child (Slight Return)Jimi Hendrix,1968
2010,103,Gene Vincent and His Blue Caps,Be-Bop-A-Lula,Be-Bop-A-LulaGene Vincent and His Blue Caps,1956
2010,104,Donna Summer,Hot Stuff,Hot StuffDonna Summer,1979
2010,105,Stevie Wonder,Living for the City,Living for the CityStevie Wonder,1973
2010,106,Simon & Garfunkel,The Boxer,The BoxerSimon & Garfunkel,1969
2010,107,Bob Dylan,Mr. Tambourine Man,Mr. Tambourine ManBob Dylan,1965
2010,108,Buddy Holly,Not Fade Away,Not Fade AwayBuddy Holly,1957
2010,109,Prince,Little Red Corvette,Little Red CorvettePrince,1983
2010,110,Van Morrison,Brown Eyed Girl,Brown Eyed GirlVan Morrison,1967
