,id,title,album,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2lYTIEA8KJQWysrhXDogcD,Bomb Through the Breeze,Hannah Wicklund & The Steppin Stones,Hannah Wicklund,45,2018-01-26,False,0.401,0.591,2,-4.65,1,0.00252,0.00278,0.313,0.691,82.133,164645,4
1,6Jub05dvpbF4Im83NqMCUg,United States Of Whatever,Fake Songs,['Liam Lynch'],52,2003-01-01,False,0.452,0.817,7,-2.27,1,0.00383,0.0,0.138,0.867,161.362,91227,4
2,2Jud1NOCRIwd0szWQp48Ak,I Fuck Around,Working with God,['Melvins'],42,2021-02-26,True,0.353,0.86,2,-5.244,1,0.344,0.00324,0.804,0.684,149.698,141787,4
3,7E9A1uj5JrMJn6yGbewQkH,The Wanderer,Shadows,['Shawn James'],44,2012-08-19,False,0.399,0.623,5,-4.534,0,0.631,1.09e-06,0.211,0.649,100.454,128768,4
4,6lQ4C2lYc3mIsBtB6EfkwT,Medicine Man,ROCKISDEAD,['Dorothy'],45,2016-06-24,False,0.476,0.452,0,-7.331,1,0.0788,0.0,0.124,0.297,140.15,199360,4
5,1PlzMAYlt0Qziq9Q1AOcv7,.CoDA.,-!- (Deluxe),['Dead Poet Society'],52,2021-12-03,True,0.557,0.622,8,-5.614,1,0.00104,0.000293,0.32,0.486,119.937,224307,4
6,5rMJJPGNeRzouxRbeo7src,NOT MAD ENOUGH,Volume 1,['Smith & Myers'],47,2020-10-09,False,0.821,0.366,2,-6.544,0,0.804,5.53e-06,0.0973,0.498,119.931,219409,4
7,2t2m9MmnyMg31cLaZ2iIht,Creature,Bones UK,['BONES UK'],42,2019-07-12,False,0.542,0.833,11,-2.764,0,0.00572,0.000338,0.0758,0.59,81.964,188000,4
8,0jFVQBPBmlBSw187RYh6Ss,Sleeping with Lions,Mountain,['The Cold Stares'],19,2018-10-31,False,0.365,0.778,5,-6.117,0,6.42e-05,1.35e-06,0.299,0.712,73.93,199787,4
9,6KKNwsCVj4Mc9WyhIqxYUT,You Can't Save Me,The Essential Richie Kotzen,['Richie Kotzen'],44,2014-09-02,True,0.608,0.478,4,-5.772,0,0.109,0.000238,0.104,0.371,135.721,257707,4
