,id,title,album,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6lFVmakxYOXqtBtkbGXrOD,Ramon Ayala,Tejano Punk Boyz,Giovannie and the Hired Guns,60,2022-10-28,True,0.491,0.876,4,-4.105,1,0.00131,7.11e-05,0.255,0.543,182.1,168312,4
1,1kP46fRENS8tD9khEB5yPD,Best Boy,Best Boy,['JJ Wilde'],36,2020-08-21,True,0.613,0.902,8,-3.586,0,0.0455,0.0,0.108,0.732,92.034,187829,4
2,6oauF9V4n7tAn8ByTOe76C,Who Do You Dance For,Patrón,['Patrón'],32,2020-05-29,False,0.626,0.93,10,-5.654,1,0.047,0.00273,0.2,0.961,104.978,207420,4
3,75bNIPy58AL7MYYp8cnj4A,Snake Song,Hawk,"['Isobel Campbell', 'Mark Lanegan']",42,2010-01-01,False,0.58,0.519,1,-12.858,1,0.546,0.867,0.0959,0.0384,97.314,168067,4
4,6sMvUUXZSh4Ii3N0cFB6Zd,Smokies,Southern Delight/Barefoot Jerry,['Barefoot Jerry'],44,2010-03-29,False,0.675,0.468,2,-14.871,1,0.629,0.125,0.0972,0.82,98.351,136267,4
5,7Fegy4P9imqvQHPDKAK4BY,Guilty As Charged,"Walk Hard: The Dewey Cox Story ""Original Motion Picture Soundtrack""",['John C. Reilly'],34,2007-12-04,False,0.588,0.605,8,-6.849,1,0.327,0.13,0.129,0.764,80.121,171467,4
6,5OkKRSGDSVISuXEYQIWx6z,Cut Me Loose,Cut Me Loose,['Harm & Ease'],47,2021-07-16,False,0.538,0.785,9,-6.151,0,0.000477,1.55e-06,0.322,0.662,87.471,165215,4
7,5XnXpQM5FR8ZQyvDY8RKQS,In Time,The Punisher: The Album,['Mark Collie'],45,2004-01-01,False,0.463,0.449,9,-9.5,0,0.475,0.00318,0.121,0.172,113.432,165133,4
8,3ynE1xXxWbeNWON22wVqVV,Where Dirt and Water Collide,The White Buffalo EP,['The White Buffalo'],40,2005-01-01,False,0.546,0.468,0,-9.472,1,0.588,0.0368,0.13,0.0519,80.47,197640,5
9,6QyBIZEvs11K9lKjyLYtv6,Take It Off,Spend The Night (U.S. Version),['The Donnas'],52,2003-04-01,False,0.412,0.951,11,-3.371,0,2.61e-06,0.00239,0.0958,0.333,158.78,162000,4
10,6p8DGrcAUBuLUgDIKcUn0P,hometown,hometown,['cleopatrick'],61,2017-10-25,False,0.315,0.826,7,-4.314,0,0.00064,0.000687,0.0703,0.359,139.161,256072,4
11,6bGStfo1wNj7QG4Dh1nH1q,California,Falling,['Betcha'],46,2019-09-13,False,0.506,0.933,11,-3.739,1,0.00744,7.38e-05,0.366,0.533,148.144,187853,4
