,id,title,album,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2n6aJ6AcIkT9QGR60DmVBt,Open My Eyes,Great Western Valkyrie,Rival Sons,27,2014,False,0.367,0.896,0,-4.668,1,0.0179,0.000205,0.356,0.512,148.643,235816,4
1,0ZbO0avCrp4z1kETBDDFGm,Hang Me Out To Dry,New Ammo,['Karl Denson'],34,2014-01-28,False,0.499,0.861,7,-4.935,0,0.0184,0.132,0.579,0.831,188.123,298427,4
2,1FgYLUc5PeLPcd8sGCoAjl,I Wanna Get High,Side Project,['The Record Company'],35,2021-06-25,True,0.494,0.548,9,-6.753,0,0.0213,0.0294,0.183,0.129,78.028,233077,4
3,053lg6741LYiEHUKnG8y6c,The Dam At Otter Creek,Throwing Copper,['Live'],42,1994-01-01,False,0.271,0.603,3,-8.656,1,0.0186,0.343,0.627,0.187,139.857,281187,5
4,3ckd4YA4LcD3j50rfIVwUe,Head Like A Hole,Pretty Hate Machine,['Nine Inch Nails'],63,1989-10-20,False,0.666,0.798,9,-11.26,1,0.00848,0.00186,0.585,0.442,115.382,299680,4
5,4zeiDZ0L3q0rW0M4AQs4cm,Fizgig,12 Bloody Spies: B-sides and Rarities,['Chevelle'],40,2018-10-26,False,0.523,0.772,5,-4.461,0,0.000795,0.0364,0.142,0.589,96.374,295173,4
6,2PY0wVbCSN9zSBlcHUz9XF,Ain't Much Left of Me,The Whippoorwill (3 Bonus Track UK/EU Edition),['Blackberry Smoke'],37,2012,False,0.233,0.801,7,-4.632,1,0.112,0.0,0.189,0.333,149.655,298787,4
7,7lE5HfOza4ji2gIWL7UwK1,Out Of Exile,Out of Exile,['Audioslave'],51,2005-01-01,False,0.414,0.934,0,-4.102,1,0.0593,0.0,0.181,0.797,165.614,288507,4
8,4apfsISItA7UeoSZsw5DsB,Burn It Down,Megalithic Symphony,['AWOLNATION'],48,2011-03-15,False,0.716,0.87,7,-4.289,1,0.0143,0.0828,0.528,0.412,98.519,165107,4
9,6D0sf3qu1UxWIYbjl7NJKK,Got Love If You Want It,Perfectamundo,"[""Billy Gibbons And The BFG's""]",31,2015-11-06,False,0.748,0.879,4,-3.225,0,0.00284,0.26,0.652,0.911,119.989,255627,4
