,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5qxChyzKLEyoPJ5qGrdurN,No Sleep Till Brooklyn,Beastie Boys,68,1986-11-15,True,0.712,0.691,8,-8.157,1,0.122,0.0,0.0538,0.742,97.022,246933,4
1,48YkpE5enOln5c7jXSTuHL,About A Girl,Nirvana,64,1994-11-01,False,0.606,0.769,3,-9.215,0,0.14,1.64e-05,0.841,0.593,121.042,218000,4
2,18lR4BzEs7e3qzc0KVkTpU,What I've Done,Linkin Park,79,2007-05-14,False,0.623,0.93,5,-5.285,1,0.0141,1.64e-06,0.138,0.287,120.119,205613,4
3,36gPq8WG7tDxrblyGVUCiT,Up Around The Bend,Creedence Clearwater Revival,70,1970-07-25,False,0.589,0.85,2,-6.143,1,0.0606,0.779,0.274,0.813,130.318,161467,4
4,6CpEUxOlhcynZpIvPY08iv,Some Might Say,Oasis,49,1995-10-02,False,0.263,0.935,0,-2.289,0,0.181,0.013,0.331,0.0688,110.138,327920,4
5,2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,Survivor,77,1985,False,0.817,0.599,0,-9.249,0,0.132,0.000311,0.0873,0.548,108.873,245640,4
6,2fdfsGuqb6SBX5ocoBWHUd,The One I Love - Remastered 2012,R.E.M.,65,1987-09-01,False,0.488,0.84,2,-4.626,1,0.000395,1.21e-06,0.346,0.559,127.862,197800,4
7,1bp2IO61zbQrbWNmKKxg3f,The Joker,Steve Miller Band,75,1973-01-01,False,0.596,0.448,5,-9.616,1,0.365,5.3e-06,0.206,0.796,83.293,264504,4
8,1H4idkmruFoJBg1DvUv2tY,Band On The Run - Remastered 2010,Wings,71,1973-12-05,False,0.479,0.601,7,-8.806,1,0.0832,0.00142,0.11,0.669,124.966,313027,4
9,0LtsuNRz3IMRrHCYO9fKRk,Beautiful Disaster,311,62,1997-08-05,True,0.576,0.738,11,-8.122,1,0.000387,0.00131,0.13,0.675,168.132,238400,4
10,28c4nfBHdb3xviamRCEsIe,Feel the Pain,Dinosaur Jr.,60,1994-08-23,False,0.34,0.804,0,-8.355,1,0.00331,0.0191,0.0727,0.854,131.5,259600,4
11,0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,The Smashing Pumpkins,66,1993,False,0.456,0.826,8,-7.611,1,3.35e-05,0.57,0.0548,0.415,82.539,201173,4
12,3rWNmpZM3vPiRwbFToDLoO,You're Gonna Say Yeah,Hushpuppies,51,2005-01-01,False,0.401,0.93,2,-2.645,1,0.00392,0.0,0.0676,0.603,166.306,191213,4
13,2BstRQGodshjGpeDGQiNgo,Do It Again,Steely Dan,70,1972-01-01,False,0.682,0.537,2,-10.254,0,0.218,3.07e-05,0.0556,0.963,124.574,356733,4
14,2LF0OpWDJDad3cNGqwk3kf,So Many Skies,Matthew Ramsey,64,2021-11-12,False,0.469,0.334,2,-8.172,1,0.752,2.48e-05,0.376,0.282,84.905,215612,3
15,1OmKo4t4Bh95xQI6WGiUR3,On the Road Again - Live,Willie Nelson,52,1975,False,0.714,0.724,4,-8.488,1,0.55,0.101,0.826,0.802,111.173,153107,4
16,3tS1VMpxp9bLn46Cyh09el,Stillborn,Black Label Society,69,2003-04-22,False,0.585,0.881,5,-4.719,0,2.27e-05,0.000939,0.376,0.425,107.028,196040,4
17,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,84,1976-12-08,False,0.579,0.508,2,-9.484,1,0.00574,0.000494,0.0575,0.609,147.125,391376,4
18,1vxu8vMNshg5J8z3oA7QJZ,Parabola,TOOL,62,2001-05-15,False,0.314,0.929,9,-6.238,1,2.03e-05,0.516,0.139,0.285,100.935,363680,4
19,55mJleti2WfWEFNFcBduhc,Schism,TOOL,70,2001-05-15,False,0.567,0.714,9,-8.512,0,0.0012,0.417,0.186,0.191,107.441,403533,3
20,65ShmiE5aLBdcIGr7tHX35,Vicarious,TOOL,64,2006-04-28,False,0.506,0.877,0,-5.73,1,5.16e-05,0.776,0.0712,0.302,114.589,426680,5
21,2WVIffmLGZUz96nOsNgFHP,Fait Accompli,Capital Theatre,53,2022-06-24,False,0.498,0.936,3,-5.41,0,8.57e-06,0.0243,0.111,0.257,128.015,288049,4
22,37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,85,1986-08-16,False,0.532,0.887,0,-3.757,1,0.0778,0.000214,0.294,0.795,122.511,249293,4
23,5cfYurP1XKldMBtvBBJiTs,Ramblin' Man,Allman Brothers Band,69,1989-06-20,False,0.349,0.692,1,-11.691,1,0.462,0.00266,0.197,0.952,179.396,288507,4
24,59CLe8stbcx4XYBWdsfbwK,One Way Or Another,Blondie,63,1978-09-23,False,0.442,0.922,2,-5.086,1,0.0532,3.86e-06,0.0768,0.855,162.272,217364,4
25,6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,76,2007-06-11,False,0.517,0.906,1,-3.677,1,0.00272,9.26e-06,0.113,0.731,172.977,211520,4
26,1ZBqJilDGBVYktvlCEo9jC,Obstacle 1,Interpol,64,2002-08-20,False,0.377,0.938,5,-4.9,1,5.18e-05,0.58,0.0705,0.385,120.514,251293,4
27,6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,80,2001-07-17,False,0.643,0.849,2,-5.428,1,0.0371,0.0,0.058,0.903,162.152,165853,4
28,7GazsQqSxAqj6cWRoOsr1s,Everyone's a Rebel 'Til They Fall in Love,Caroline Jones,57,2021-11-12,False,0.691,0.713,4,-4.421,1,0.00991,0.0,0.157,0.774,107.523,199559,4
29,5fKZJHzJ9d3MADArbm9muW,Mountain Song,Jane's Addiction,63,1988-08-23,False,0.324,0.931,9,-6.803,1,0.0155,0.0252,0.277,0.313,82.748,242720,4
30,4TIJ7zSBNejpoIPaWpWRKc,Rebel Yell,Billy Idol,74,1983-11-01,False,0.53,0.864,4,-4.948,0,0.000753,0.000459,0.354,0.484,166.312,288533,4
31,6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,Korn,75,1998-08-18,True,0.353,0.898,2,-5.877,1,2.23e-05,0.105,0.39,0.525,103.293,255733,4
32,5u0MCSH2msdLurNeGXRyTJ,Love Removal Machine,The Cult,58,1987,False,0.323,0.857,7,-6.972,1,0.00217,0.000502,0.0567,0.64,137.537,258907,4
33,45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,Lenny Kravitz,75,1993-03-09,False,0.619,0.67,11,-10.322,0,0.00165,0.0109,0.331,0.777,129.269,211933,4
34,22ML0MuFKfw16WejbxsLOy,Heartbreaker,Pat Benatar,64,1979-01-01,False,0.466,0.588,5,-10.666,0,0.285,9.94e-06,0.0535,0.882,156.131,209360,4
35,3odhykj67v61vPo47AJT1f,Someone Who Wasn't You,Caroline Jones,58,2021-11-12,False,0.457,0.74,6,-4.733,1,0.0623,0.0,0.156,0.611,202.243,249015,4
36,3BovdzfaX4jb5KFQwoPfAw,Beat It,Michael Jackson,61,1982-11-30,False,0.776,0.711,3,-9.03,0,0.0242,0.000353,0.234,0.901,138.728,258400,4
37,2f0P7iELCvAlV8j6Z3rGDE,Stranglehold,Ted Nugent,66,1975,False,0.484,0.711,2,-7.784,1,0.0183,0.173,0.0941,0.49,148.189,503067,4
38,4xh7W7tlNMIczFhupCPniY,Go Your Own Way - 2004 Remaster,Fleetwood Mac,69,1977-02-04,False,0.586,0.941,5,-5.139,1,0.0167,0.000776,0.068,0.831,135.448,223613,4
39,3LQPTJEqOfljGBxmpgUnoC,American Woman,The Guess Who,65,1970-01-01,False,0.55,0.726,2,-8.51,1,0.146,0.00608,0.428,0.37,92.697,307493,4
40,5pQEExRHWM9XnghO6bhdLJ,Hey Man Nice Shot,Filter,1,1995-04-14,False,0.479,0.588,2,-10.773,1,0.00214,0.709,0.319,0.305,177.014,314440,4
41,67HxeUADW4H3ERfaPW59ma,Love Me Two Times,The Doors,64,1967-09-25,False,0.684,0.698,9,-6.219,1,0.332,5.16e-06,0.122,0.839,132.846,195107,4
42,68jZGcx7u9TyM3muLuIfIX,Here I Go Again,Tess Barr,39,2022-07-29,False,0.539,0.339,10,-10.385,1,0.544,0.0,0.112,0.344,131.939,204322,4
43,6WkSUgo1VdpzgtiXKlFPcY,Dammit,blink-182,66,1997,True,0.426,0.972,0,-5.122,1,0.0017,0.0,0.171,0.341,111.221,165373,4
44,4ZD6SiaJi75smnel0d7jl3,Spiderwebs,No Doubt,62,1995-10-10,False,0.49,0.852,10,-7.192,1,0.0376,2.21e-06,0.126,0.663,143.248,266760,4
45,4jFN3aMZf1zbAZc146XOjr,Monsoon,Tokio Hotel,46,2010-01-01,False,0.58,0.734,3,-5.236,0,0.0187,0.0,0.196,0.175,111.962,240773,4
46,5gN9Fj3TCrKP1WLZmKQO87,Aggro - US Version,The Enemy,34,2007-07-09,False,0.361,0.828,1,-5.119,1,0.00088,0.0,0.196,0.326,145.704,204000,4
47,6fhpnwCBLVamyD7gkZhXjt,"Too Much, Too Young, Too Fast",Airbourne,39,2007-01-01,False,0.592,0.813,9,-7.154,1,0.0014,0.000966,0.336,0.384,114.038,224773,4
48,2lwwrWVKdf3LR9lbbhnr6R,Float On,Modest Mouse,73,2004-04-05,False,0.649,0.888,6,-4.807,1,0.013,2.23e-06,0.0888,0.553,100.975,208467,4
49,1IHER3odWnzjIRD8ps4eQA,feel alive,Halston Dare,59,2022-06-17,False,0.504,0.538,5,-6.714,1,0.303,0.0,0.139,0.351,96.059,203880,4
50,1cLfXnBwTFuRngRZfQeLof,Kick Out the Jams,MC5,45,1969,False,0.316,0.921,2,-3.491,1,0.00407,0.0,0.37,0.723,145.559,160533,4
51,7J0niAY0FLzGiCVJUREl88,Escuela de Calor,Radio Futura,58,1984-04-20,False,0.702,0.804,2,-10.086,1,0.12,0.0231,0.0294,0.961,121.998,210840,4
52,2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,78,1996-07-30,False,0.682,0.765,1,-5.021,0,0.0268,3.42e-05,0.188,0.567,90.807,182747,4
53,0OU01HIJgtpkWLuwOb1tZD,"Demolition Man - Live at Irving Plaza, 2011 Remix",Sting,22,2011-01-01,False,0.211,0.875,9,-8.88,1,0.00734,0.00126,0.986,0.337,165.136,265533,4
54,0qksx8mV28lztYIZ1om8ml,Shiver,Coldplay,67,2000-07-10,False,0.396,0.803,4,-6.186,1,0.0334,0.0,0.0688,0.286,116.705,304200,3
55,1aDLUzCyYpRXgrjwUWzV2X,Lazy Eye,Silversun Pickups,66,2006-07-25,False,0.633,0.831,4,-5.053,1,0.0401,0.693,0.117,0.243,127.397,354360,4
56,26ORKiTdampbfuv4Zno5su,Dress,Charlotte Sands,63,2022-01-21,False,0.807,0.438,5,-9.596,1,0.028,0.0,0.454,0.793,114.994,143500,4
57,2mKj8Em0GLFu8I78yM1CfU,Pretty Vacant,Sex Pistols,47,1977-10-27,False,0.258,0.932,2,-5.194,1,0.0467,8.09e-06,0.142,0.334,145.582,198160,4
58,7odhtNbpziUkgh00RsjzHQ,Nuvole E Lenzuola,Negramaro,47,2006-05-26,False,0.525,0.923,11,-3.873,0,0.0727,0.0,0.38,0.662,134.858,199200,4
59,0vTRJ32D1tg11WnXc0CIq9,Toy Boy,Stuck in the Sound,49,2006-11-06,False,0.458,0.924,2,-3.632,1,0.000867,0.0365,0.153,0.494,158.067,265000,4
60,6kBf4OWtJSkRyVwdwwDL9z,Hail to the Freaks - 2015 Remaster,Beatsteaks,31,2015-09-18,False,0.452,0.96,6,-5.01,0,3.38e-06,0.684,0.0891,0.647,151.035,193133,4
61,76tO9mearC41xICtV4M9Iv,"Sweet Home Alabama - Live At Fox Theatre, Atlanta, 1976",Lynyrd Skynyrd,30,1976,False,0.497,0.856,7,-7.887,1,0.155,0.00548,0.951,0.47,99.945,449074,4
62,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,81,1997-05-20,False,0.413,0.881,11,-5.541,0,5.99e-05,0.000308,0.0805,0.364,158.066,250547,4
63,4ns5zRv5YXKZTfiGx3qEE0,scream!,Judah & the Lion,52,2022-05-06,False,0.506,0.754,7,-7.272,1,0.268,0.0,0.298,0.56,149.952,199874,4
64,1LuPrOdGp4NSWVsJ2sPJOx,L'Via L'Viaquez,The Mars Volta,47,2005-02-10,False,0.335,0.818,7,-5.673,0,0.0359,0.00275,0.08,0.574,174.854,741600,4
65,0lP4HYLmvowOKdsQ7CVkuq,The Kill,Thirty Seconds To Mars,75,2005-01-01,False,0.179,0.912,4,-3.881,0,0.0014,0.000294,0.582,0.289,182.99,231533,3
66,5H6Jp0syB5yEPk7SWYdlmk,The Wind Cries Mary,Jimi Hendrix,62,1967-05-12,False,0.499,0.495,5,-10.508,1,0.348,0.0286,0.2,0.339,80.086,200733,4
67,0wJoRiX5K5BxlqZTolB2LD,Purple Haze,Jimi Hendrix,71,1967-05-12,False,0.533,0.905,2,-5.27,1,0.00876,0.578,0.0698,0.486,108.9,170813,4
68,7sgGULtAhIts3SeZdou7py,VinterNoll2,kent,43,2002-11-04,False,0.501,0.952,1,-3.899,0,0.000285,0.0154,0.129,0.427,138.015,265440,4
69,4adPbUuejHaVDpC1SDpfQr,Weapon Of Choice,Black Rebel Motorcycle Club,49,2007-01-01,False,0.44,0.998,5,-1.931,0,0.00462,7.52e-06,0.235,0.181,149.116,169267,4
70,14wySAYzIifpgeuMSUKvbt,Hero,Kurt Deimer,46,2022-05-06,False,0.541,0.982,4,-3.623,1,4.04e-05,0.123,0.0267,0.411,130.048,207781,4
71,5sqfGwmwfq6srTK4hBgO7w,Good God,Anouk,36,2007-01-01,False,0.438,0.97,10,-2.824,0,0.0648,8.82e-06,0.256,0.578,164.352,156000,4
72,1lg8iruuIfdRL20TMmHRzJ,One Armed Scissor,At the Drive-In,52,2000,False,0.251,0.932,4,-4.167,0,0.0511,3.29e-05,0.642,0.229,165.253,260306,4
73,5VbePtZp1at8gH990zVyTI,Hollywood Nights,Bob Seger,66,1978-05-05,False,0.529,0.968,9,-5.198,1,0.00506,0.00034,0.201,0.751,150.326,302627,4
74,3Staqm5EYDnYBqcwuxrWjZ,Overkill,Motörhead,61,1979-03-24,False,0.266,0.866,11,-7.885,1,5.44e-06,0.0185,0.0961,0.211,119.41,311133,4
